Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
NNGR_80x60_02;40.83;1.33;868;2.26;4.85;5.90;6.60;46.67;0.67
NNGR_80x60_03;60.38;1.33;1140;2.54;7.07;7.31;9.25;35.02;0.50
NNGR_80x65_01;49.40;1.23;1236;2.08;4.10;7.64;9.62;44.31;0.61
NNGR_80x68_01;57.50;1.18;1351;2.32;4.84;9.34;8.88;39.56;0.54
NNGR_80x70_01;41.75;1.14;834;2.80;6.22;5.42;5.71;48.26;0.64
NNGR_89x71_01;61.28;1.25;1197;3.23;6.39;6.40;8.83;37.60;0.47
NNGR_8x38_01;33.55;0.21;73;1.40;3.35;2.50;1.39;16.23;0.71
NNGR_90x90_01;61.84;1.00;1606;3.12;8.32;6.93;10.91;42.27;0.47
NNGR_95x70_01;56.60;1.36;1674;2.25;5.39;9.77;10.66;45.02;0.55
NNGR_9x33_01;42.09;0.27;75;1.67;5.49;3.56;1.30;13.59;0.63
